,,scale_consistency,scale_consistency,scale_consistency,pitch_entropy,pitch_entropy,pitch_entropy,pitch_class_entropy,pitch_class_entropy,pitch_class_entropy,note_density,note_density,note_density,pitch_range,pitch_range,pitch_range,avg_polyphony,avg_polyphony,avg_polyphony
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
model_type,setting,,,,,,,,,,,,,,,,,,
naive,conservative,0.9934666666666666,0.00862927388695549,30,3.134094585625331,0.21166858319724483,30,2.694699770989698,0.09191522078825495,30,4.0,0.0,30,18.633333333333333,1.9910720268468325,30,1.0,0.0,30
naive,balanced,0.9600000000000001,0.025986734016178067,30,3.5138863163390592,0.18992711195723816,30,2.889540358020192,0.11041080324315729,30,4.0,0.0,30,38.03333333333333,9.238164220283139,30,1.0,0.0,30
naive,creative,0.8098666666666666,0.04867041396374495,30,4.581153128230539,0.2695219028020358,30,3.3215030346883685,0.09552073288387683,30,4.0,0.0,30,50.93333333333333,1.4840144374549422,30,1.0,0.0,30
miditok,conservative,0.9846486058084757,0.01937661521439273,30,3.0180399990195768,0.2179166470076315,30,2.6775979346057874,0.14296208982439962,30,2.6608747895693003,1.041533302981249,30,16.233333333333334,2.4308836669612246,30,1.7422227156344898,0.9928412626259724,30
miditok,balanced,0.9510312614678711,0.03786901729461666,30,3.3001485428203683,0.24295106961923676,30,2.827704038644257,0.1359046928841582,30,2.5474742267182204,0.6483886645962581,30,35.96666666666667,18.70364768652386,30,1.6221891192813038,0.892624398866687,30
miditok,creative,0.8550508141573621,0.06745366341462981,30,3.8157076316677063,0.2826769305638235,30,3.009967238609811,0.16191840084191364,30,0.9623315079982561,0.4535946085322633,30,59.56666666666667,14.004145527450895,30,1.025137589123374,0.2563088089842514,30
miditok_augmented,conservative,0.9889972602598667,0.01714591950614168,30,3.0003942389117717,0.22757687881840155,30,2.6629909652891275,0.12628462816557443,30,2.5760509281752744,0.7641772671538221,30,16.4,2.2833731853221613,30,1.7671211548782542,1.0284377133806382,30
miditok_augmented,balanced,0.9607843074714716,0.03879174961067954,30,3.2967313959362836,0.25935238530343147,30,2.8140201019619457,0.16076078785972264,30,2.5417427872386784,0.5349826947572963,30,20.233333333333334,6.861603981242454,30,1.7039316504620143,1.0218628316968095,30
miditok_augmented,creative,0.8529142898590382,0.06519794325459513,30,3.838306084134719,0.3572430941498427,30,3.0208812217863668,0.2023372190209907,30,1.6643908053701204,0.5855459347788251,30,57.666666666666664,16.01794970162156,30,1.568727623139621,0.7447570799295014,30
