model_type,setting,sample_id,num_notes,duration,note_density,pitch_range,avg_polyphony,scale_consistency,pitch_entropy,pitch_class_entropy
lstm,conservative,1,250,62.5,4.0,19,1.0,0.996,3.042026337232488,2.658521877975864
lstm,conservative,2,250,62.5,4.0,17,1.0,0.992,3.2574142162698725,2.7689454579270003
lstm,conservative,3,250,62.5,4.0,19,1.0,0.984,3.068091986324945,2.7440663796093405
lstm,conservative,4,250,62.5,4.0,19,1.0,1.0,3.152825650195846,2.674703006332215
lstm,conservative,5,250,62.5,4.0,19,1.0,0.992,3.2876936066409947,2.700267582771386
lstm,conservative,6,250,62.5,4.0,19,1.0,0.988,3.3146472821745085,2.7615588081904012
lstm,conservative,7,250,62.5,4.0,17,1.0,1.0,2.614869654462946,2.5205218431247287
lstm,conservative,8,250,62.5,4.0,14,1.0,1.0,3.0174365575000115,2.6982935594782345
lstm,conservative,9,250,62.5,4.0,17,1.0,1.0,3.0435454482619417,2.7025570547167437
lstm,conservative,10,250,62.5,4.0,19,1.0,0.992,3.2815074810000846,2.7694470449699207
lstm,conservative,11,250,62.5,4.0,19,1.0,0.972,3.2446622193453765,2.8491154346853853
lstm,conservative,12,250,62.5,4.0,17,1.0,1.0,3.039426839364124,2.6895044762428895
lstm,conservative,13,250,62.5,4.0,21,1.0,0.948,3.476191698051817,2.9661503437409498
lstm,conservative,14,250,62.5,4.0,17,1.0,0.968,3.400344981128915,2.9090767794963046
lstm,conservative,15,250,62.5,4.0,19,1.0,0.992,3.046744123390481,2.6804627801197167
lstm,conservative,16,250,62.5,4.0,21,1.0,1.0,3.2190533847472604,2.6698235587772765
lstm,conservative,17,250,62.5,4.0,19,1.0,0.988,3.2265285058307898,2.713908350525231
lstm,conservative,18,250,62.5,4.0,21,1.0,0.984,3.345216798057984,2.84430367202205
lstm,conservative,19,250,62.5,4.0,24,1.0,0.988,2.9421861459357377,2.6992533925652538
lstm,conservative,20,250,62.5,4.0,19,1.0,0.984,3.1906538319113187,2.7872232581514753
lstm,conservative,21,250,62.5,4.0,17,1.0,0.972,3.1294726795596968,2.8776667809468477
lstm,conservative,22,250,62.5,4.0,19,1.0,1.0,3.2143189461152857,2.6511727529752225
lstm,conservative,23,250,62.5,4.0,21,1.0,0.972,3.4118346378645525,2.752537807642733
lstm,conservative,24,250,62.5,4.0,14,1.0,1.0,2.941547708785928,2.6034721292226273
lstm,conservative,25,250,62.5,4.0,26,1.0,0.984,3.5819351280941234,2.7486917277105327
lstm,conservative,26,250,62.5,4.0,21,1.0,1.0,3.207182344194279,2.711150194762087
lstm,conservative,27,250,62.5,4.0,17,1.0,1.0,3.0488590253439045,2.6974215380231814
lstm,conservative,28,250,62.5,4.0,22,1.0,1.0,3.2298967055746597,2.6593478548036353
lstm,conservative,29,250,62.5,4.0,19,1.0,0.984,3.3499518928343712,2.795289655820318
lstm,conservative,30,250,62.5,4.0,21,1.0,0.984,3.4261501522061666,2.8086020867428716
lstm,balanced,1,250,62.5,4.0,32,1.0,0.992,3.4667423263520423,2.6971654655413317
lstm,balanced,2,250,62.5,4.0,41,1.0,0.92,3.599954564904658,2.99975748690276
lstm,balanced,3,250,62.5,4.0,41,1.0,0.932,3.4018378278454784,3.0438969545321144
lstm,balanced,4,250,62.5,4.0,41,1.0,0.984,3.615957530582366,2.7928134675712997
lstm,balanced,5,250,62.5,4.0,40,1.0,0.944,3.5804060810078377,2.9989013437588925
lstm,balanced,6,250,62.5,4.0,41,1.0,0.96,3.566127271537345,2.9013604854087456
lstm,balanced,7,250,62.5,4.0,42,1.0,0.936,3.7715787018965568,3.0154397860904636
lstm,balanced,8,250,62.5,4.0,29,1.0,0.98,3.6982722465120776,2.8423128358708905
