discriminator_type,setting,guidance_strength,sample_id,num_notes,duration,note_density,pitch_range,avg_polyphony,scale_consistency,pitch_entropy,pitch_class_entropy
none,conservative,0,1,250,62.5,4.0,19,1.0,1.0,2.9695671694675387,2.5152733313790323
none,conservative,0,2,250,62.5,4.0,16,1.0,1.0,2.888987016414981,2.5945341055798785
none,conservative,0,3,250,62.5,4.0,16,1.0,0.984,3.1638494630320455,2.76076039877242
none,conservative,0,4,250,62.5,4.0,15,1.0,1.0,2.8626728881568106,2.68433772095076
none,conservative,0,5,250,62.5,4.0,16,1.0,1.0,3.007198640278134,2.6252487995002163
none,conservative,0,6,250,62.5,4.0,14,1.0,0.952,2.997249610664909,2.6974510919110544
none,conservative,0,7,250,62.5,4.0,21,1.0,0.996,3.297672533358804,2.7249580403522136
none,conservative,0,8,250,62.5,4.0,21,1.0,1.0,3.2423854867152415,2.7189049281064053
none,conservative,0,9,250,62.5,4.0,17,1.0,1.0,2.9450404781039157,2.5023887427013616
none,conservative,0,10,250,62.5,4.0,19,1.0,1.0,3.087446230834471,2.66386635814637
none,conservative,0,11,250,62.5,4.0,19,1.0,0.984,3.2174659327751276,2.8410377456888116
none,conservative,0,12,250,62.5,4.0,17,1.0,1.0,3.0003009166003314,2.6439821977694606
none,conservative,0,13,250,62.5,4.0,21,1.0,0.976,3.4549571311625327,2.7651388261762357
none,conservative,0,14,250,62.5,4.0,17,1.0,1.0,2.90537861045308,2.683675447111831
none,conservative,0,15,250,62.5,4.0,19,1.0,0.996,3.0057545982701583,2.623706903715203
none,conservative,0,16,250,62.5,4.0,19,1.0,0.984,3.27007993082137,2.8591735705377257
none,conservative,0,17,250,62.5,4.0,21,1.0,1.0,3.2481836170033453,2.5440886832093086
none,conservative,0,18,250,62.5,4.0,21,1.0,1.0,3.2585315463959126,2.7546762839668903
none,conservative,0,19,250,62.5,4.0,21,1.0,0.928,3.377892971970477,2.996005686178259
none,conservative,0,20,250,62.5,4.0,16,1.0,1.0,3.0056330573191494,2.631022017888561
none,conservative,0,21,250,62.5,4.0,21,1.0,1.0,3.1375402313225154,2.675802403895159
none,conservative,0,22,250,62.5,4.0,17,1.0,1.0,3.042598616105508,2.7009133295732726
none,conservative,0,23,250,62.5,4.0,19,1.0,0.952,3.190074770811751,2.8446762322093804
none,conservative,0,24,250,62.5,4.0,17,1.0,1.0,2.796373201008076,2.5742043895151183
none,conservative,0,25,250,62.5,4.0,16,1.0,0.984,2.9449541251449762,2.6422466210098805
none,conservative,0,26,250,62.5,4.0,19,1.0,1.0,2.8332949914379713,2.5138420426410173
none,conservative,0,27,250,62.5,4.0,17,1.0,1.0,3.067326031980365,2.6547508810961506
none,conservative,0,28,250,62.5,4.0,19,1.0,0.876,3.680692843293915,3.1691333616655735
none,conservative,0,29,250,62.5,4.0,16,1.0,1.0,2.959305599258567,2.6159096428177633
none,conservative,0,30,250,62.5,4.0,17,1.0,1.0,3.253937451905378,2.733400288740259
none,balanced,0,1,250,62.5,4.0,32,1.0,0.984,3.0743292372613826,2.7938891339798952
none,balanced,0,2,250,62.5,4.0,44,1.0,0.992,3.5025747645386995,2.7273436409630207
none,balanced,0,3,250,62.5,4.0,40,1.0,0.928,3.5328487367532304,3.000509400658627
none,balanced,0,4,250,62.5,4.0,42,1.0,0.98,3.537286551347818,2.88802154999615
none,balanced,0,5,250,62.5,4.0,34,1.0,0.948,3.467525908051713,2.919497493430582
none,balanced,0,6,250,62.5,4.0,45,1.0,0.98,3.688362494898497,2.796340012102894
none,balanced,0,7,250,62.5,4.0,34,1.0,0.948,3.4242531612277745,2.909345735977767
none,balanced,0,8,250,62.5,4.0,40,1.0,0.976,3.5241738021645395,2.861637317147269
none,balanced,0,9,250,62.5,4.0,19,1.0,0.972,3.33877799397873,2.8487145796467233
none,balanced,0,10,250,62.5,4.0,38,1.0,0.984,3.2907939698828086,2.814306740742004
none,balanced,0,11,250,62.5,4.0,19,1.0,0.912,3.4788860968753474,3.0193328809901074
none,balanced,0,12,250,62.5,4.0,50,1.0,0.976,3.708645791850172,2.8863858729696767
none,balanced,0,13,250,62.5,4.0,37,1.0,0.944,3.461668783522883,2.9583980890532184
none,balanced,0,14,250,62.5,4.0,44,1.0,0.86,3.7922813257792405,3.236485748315623
none,balanced,0,15,250,62.5,4.0,47,1.0,0.884,3.951427909416392,3.2223157415525985
none,balanced,0,16,250,62.5,4.0,30,1.0,0.988,3.2692517028702395,2.781947939613731
none,balanced,0,17,250,62.5,4.0,45,1.0,0.86,3.8662106461324695,3.2300654823281403
none,balanced,0,18,250,62.5,4.0,38,1.0,0.94,3.4768292752878738,2.9701405023691416
none,balanced,0,19,250,62.5,4.0,46,1.0,0.956,3.5215540513855785,2.975804080979942
none,balanced,0,20,250,62.5,4.0,39,1.0,0.82,3.6617346033750287,3.1573127003838857
none,balanced,0,21,250,62.5,4.0,44,1.0,0.944,3.628516784177762,2.9295746651675154
none,balanced,0,22,250,62.5,4.0,21,1.0,0.984,3.2939758675247823,2.832136668545055
none,balanced,0,23,250,62.5,4.0,46,1.0,0.94,3.455730238701108,2.9458726066579985
none,balanced,0,24,250,62.5,4.0,48,1.0,0.968,3.5566846251683506,2.8432902495458774
none,balanced,0,25,250,62.5,4.0,21,1.0,0.964,3.3443373557908807,2.8605584311566847
none,balanced,0,26,250,62.5,4.0,35,1.0,0.94,3.4929271740609398,2.9719233773297327
none,balanced,0,27,250,62.5,4.0,47,1.0,0.972,3.4439472584321207,2.8808554837002376
none,balanced,0,28,250,62.5,4.0,29,1.0,0.988,3.185474602343717,2.794455839044991
none,balanced,0,29,250,62.5,4.0,27,1.0,0.932,3.517535135841055,2.9571308839898083
none,balanced,0,30,250,62.5,4.0,36,1.0,0.98,3.4757496707829585,2.7052092360396927
none,creative,0,1,250,62.5,4.0,52,1.0,0.88,4.411119928560996,3.1792838948973534
none,creative,0,2,250,62.5,4.0,51,1.0,0.852,4.843012586100059,3.267014326782183
none,creative,0,3,250,62.5,4.0,52,1.0,0.876,4.572592515837228,3.1757260146577875
none,creative,0,4,250,62.5,4.0,49,1.0,0.968,3.92423372483048,2.83443908857289
